Province_Code,Province,Sub District_Code,Sub District,housing_demand_2022,type_below_A,type_A_rent,type_A_lease_purchase,type_B_lease_purchase,type_C_lease_purchase,type_D_lease_purchase,Region,KMeans_Cluster,Agglomerative_Cluster,ref,LAT,LONG
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.753,100.5
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.754,100.497
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.76,100.498
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.75,100.499
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.751,100.503
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.762,100.495
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.762,100.503
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.765,100.505
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.757,100.501
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.768,100.499
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.744,100.499
10,Bangkok,1,Phra Nakhon,232,13,25,38,24,28,104,Central,Cluster 0,3,phranakhon,13.751,100.492
10,Bangkok,37,Rat Thewi,543,31,60,89,57,65,243,Central,Cluster 1,1,ratthewi,13.752,100.528
10,Bangkok,37,Rat Thewi,543,31,60,89,57,65,243,Central,Cluster 1,1,ratthewi,13.757,100.538
10,Bangkok,37,Rat Thewi,543,31,60,89,57,65,243,Central,Cluster 1,1,ratthewi,13.752,100.559
10,Bangkok,37,Rat Thewi,543,31,60,89,57,65,243,Central,Cluster 1,1,ratthewi,13.763,100.53
10,Bangkok,2,Dusit,393,22,43,64,41,47,176,Central,Cluster 0,1,dusit,13.758,100.517
10,Bangkok,2,Dusit,393,22,43,64,41,47,176,Central,Cluster 0,1,dusit,13.778,100.505
10,Bangkok,2,Dusit,393,22,43,64,41,47,176,Central,Cluster 0,1,dusit,13.767,100.52
10,Bangkok,2,Dusit,393,22,43,64,41,47,176,Central,Cluster 0,1,dusit,13.772,100.513
10,Bangkok,2,Dusit,393,22,43,64,41,47,176,Central,Cluster 0,1,dusit,13.789,100.522
10,Bangkok,14,Phaya Thai,483,27,53,79,50,57,216,Central,Cluster 1,1,phayathai,13.782,100.545
10,Bangkok,17,Huai Khwang,826,47,91,136,86,98,369,Central,Cluster 1,0,huaikhwang,13.769,100.577
10,Bangkok,17,Huai Khwang,826,47,91,136,86,98,369,Central,Cluster 1,0,huaikhwang,13.796,100.579
10,Bangkok,17,Huai Khwang,826,47,91,136,86,98,369,Central,Cluster 1,0,huaikhwang,13.752,100.586
10,Bangkok,45,Wang Thonglang,713,40,78,117,74,85,318,Central,Cluster 1,1,wangthonglang,13.779,100.609
10,Bangkok,8,Pom Prap Sattru Phai,235,13,26,39,25,28,105,Central,Cluster 0,3,pomprapsattruphai,13.752,100.507
10,Bangkok,8,Pom Prap Sattru Phai,235,13,26,39,25,28,105,Central,Cluster 0,3,pomprapsattruphai,13.749,100.512
10,Bangkok,8,Pom Prap Sattru Phai,235,13,26,39,25,28,105,Central,Cluster 0,3,pomprapsattruphai,13.759,100.511
10,Bangkok,8,Pom Prap Sattru Phai,235,13,26,39,25,28,105,Central,Cluster 0,3,pomprapsattruphai,13.753,100.513
10,Bangkok,8,Pom Prap Sattru Phai,235,13,26,39,25,28,105,Central,Cluster 0,3,pomprapsattruphai,13.743,100.514
10,Bangkok,13,Samphanthawong,159,9,18,26,17,19,71,Central,Cluster 0,3,samphanthawong,13.734,100.513
10,Bangkok,13,Samphanthawong,159,9,18,26,17,19,71,Central,Cluster 0,3,samphanthawong,13.739,100.511
10,Bangkok,13,Samphanthawong,159,9,18,26,17,19,71,Central,Cluster 0,3,samphanthawong,13.741,100.504
10,Bangkok,26,Din Daeng,691,39,76,113,72,82,309,Central,Cluster 1,1,dindaeng,13.778,100.567
10,Bangkok,12,Yan Nawa,611,34,67,100,64,72,273,Central,Cluster 1,1,yannawa,13.682,100.533
10,Bangkok,12,Yan Nawa,611,34,67,100,64,72,273,Central,Cluster 1,1,yannawa,13.697,100.544
10,Bangkok,28,Sathon,482,27,53,79,50,57,216,Central,Cluster 1,1,sathon,13.71,100.532
10,Bangkok,28,Sathon,482,27,53,79,50,57,216,Central,Cluster 1,1,sathon,13.714,100.514
10,Bangkok,28,Sathon,482,27,53,79,50,57,216,Central,Cluster 1,1,sathon,13.718,100.541
10,Bangkok,7,Pathum Wan,365,21,40,60,38,43,163,Central,Cluster 0,1,pathumwan,13.744,100.52
10,Bangkok,7,Pathum Wan,365,21,40,60,38,43,163,Central,Cluster 0,1,pathumwan,13.742,100.526
10,Bangkok,7,Pathum Wan,365,21,40,60,38,43,163,Central,Cluster 0,1,pathumwan,13.74,100.535
10,Bangkok,7,Pathum Wan,365,21,40,60,38,43,163,Central,Cluster 0,1,pathumwan,13.736,100.546
10,Bangkok,33,Khlong Toei,783,44,86,128,82,93,350,Central,Cluster 1,0,khlongtoei,13.723,100.571
10,Bangkok,33,Khlong Toei,783,44,86,128,82,93,350,Central,Cluster 1,0,khlongtoei,13.707,100.595
10,Bangkok,33,Khlong Toei,783,44,86,128,82,93,350,Central,Cluster 1,0,khlongtoei,13.71,100.57
10,Bangkok,39,Watthana,804,45,88,132,84,95,359,Central,Cluster 1,0,watthana,13.743,100.56
10,Bangkok,39,Watthana,804,45,88,132,84,95,359,Central,Cluster 1,0,watthana,13.719,100.596
10,Bangkok,39,Watthana,804,45,88,132,84,95,359,Central,Cluster 1,0,watthana,13.736,100.576
10,Bangkok,34,Suan Luang,840,47,92,138,88,100,375,Central,Cluster 1,0,suanluang,13.726,100.628
10,Bangkok,9,Phra Khanong,606,34,67,99,63,72,271,Central,Cluster 1,1,phrakhanong,13.692,100.626
10,Bangkok,47,Bang Na,727,41,80,119,76,86,325,Central,Cluster 1,1,bangna,13.672,100.616
10,Bangkok,32,Prawet,1018,57,112,167,106,121,455,Central,Cluster 1,0,prawet,13.687,100.656
10,Bangkok,32,Prawet,1018,57,112,167,106,121,455,Central,Cluster 1,0,prawet,13.68,100.689
10,Bangkok,32,Prawet,1018,57,112,167,106,121,455,Central,Cluster 1,0,prawet,13.719,100.664
10,Bangkok,4,Bang Rak,332,19,36,54,35,39,148,Central,Cluster 0,1,bangrak,13.725,100.514
10,Bangkok,4,Bang Rak,332,19,36,54,35,39,148,Central,Cluster 0,1,bangrak,13.727,100.527
10,Bangkok,4,Bang Rak,332,19,36,54,35,39,148,Central,Cluster 0,1,bangrak,13.734,100.52
10,Bangkok,4,Bang Rak,332,19,36,54,35,39,148,Central,Cluster 0,1,bangrak,13.73,100.525
10,Bangkok,4,Bang Rak,332,19,36,54,35,39,148,Central,Cluster 0,1,bangrak,13.724,100.53
10,Bangkok,31,Bang Kho Laem,457,26,50,75,48,54,204,Central,Cluster 1,1,bangkholaem,13.706,100.508
10,Bangkok,31,Bang Kho Laem,457,26,50,75,48,54,204,Central,Cluster 1,1,bangkholaem,13.696,100.494
10,Bangkok,31,Bang Kho Laem,457,26,50,75,48,54,204,Central,Cluster 1,1,bangkholaem,13.694,100.516
10,Bangkok,6,Bang Kapi,1205,68,132,198,126,143,539,Central,Cluster 1,0,bangkapi,13.786,100.635
10,Bangkok,6,Bang Kapi,1205,68,132,198,126,143,539,Central,Cluster 1,0,bangkapi,13.756,100.66
10,Bangkok,44,Saphan Sung,429,24,47,70,45,51,192,Central,Cluster 1,1,saphansung,13.761,100.688
10,Bangkok,27,Bung Kum,865,49,95,142,90,103,386,Central,Cluster 1,0,bungkum,13.808,100.65
10,Bangkok,43,Khan Na Yao,486,27,53,80,51,58,217,Central,Cluster 1,1,khannayao,13.821,100.677
10,Bangkok,46,Khlong Sam Wa,918,52,101,150,96,109,410,Central,Cluster 1,0,khlongsamwa,13.854,100.745
10,Bangkok,46,Khlong Sam Wa,918,52,101,150,96,109,410,Central,Cluster 1,0,khlongsamwa,13.861,100.786
10,Bangkok,46,Khlong Sam Wa,918,52,101,150,96,109,410,Central,Cluster 1,0,khlongsamwa,13.839,100.7
10,Bangkok,46,Khlong Sam Wa,918,52,101,150,96,109,410,Central,Cluster 1,0,khlongsamwa,13.889,100.708
10,Bangkok,46,Khlong Sam Wa,918,52,101,150,96,109,410,Central,Cluster 1,0,khlongsamwa,13.896,100.76
10,Bangkok,10,Min Buri,671,38,74,110,70,80,300,Central,Cluster 1,1,minburi,13.804,100.723
10,Bangkok,10,Min Buri,671,38,74,110,70,80,300,Central,Cluster 1,1,minburi,13.812,100.774
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.723,100.771
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.753,100.723
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.753,100.754
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.728,100.815
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.736,100.855
10,Bangkok,11,Lat Krabang,1013,57,111,166,106,120,453,Central,Cluster 1,0,latkrabang,13.765,100.817
